steps,time,reward,delta,converged
1,0.0010004043579101562,55.19999999999999,100.2,False
2,0.0,148.04000000000008,20.0,False
3,0.0,179.53600000000006,4.0,False
4,0.0010001659393310547,188.42080000000007,0.8000000000000007,False
5,0.0010008811950683594,190.68256,0.1600000000000108,False
6,0.0,191.23187199999995,0.03200000000000358,False
7,0.0,191.34977024000005,0.006400000000000183,False
8,0.0009996891021728516,191.375036928,0.001280000000000392,False
9,0.0010001659393310547,191.38042101760004,0.00025600000000736145,False
10,0.0,191.3815633715201,5.120000000147229e-05,False
11,0.0,191.38180494950404,1.0240000000827365e-05,False
12,0.0010001659393310547,191.38185588703232,2.048000000254291e-06,True
