steps,time,reward,delta,converged
1,0.002930879592895508,0.0,0,False
2,0.001954317092895508,0.0,0,False
3,0.0009768009185791016,0.0,0,False
4,0.0019540786743164062,0.0,0,False
5,0.0044138431549072266,0.0,0,False
6,0.0009772777557373047,0.0,0,False
7,0.001954317092895508,0.0,0,False
8,0.001954317092895508,0.0,0,False
9,0.0019545555114746094,0.0,0,False
10,0.003908872604370117,0.0,0,False
11,0.001954317092895508,0.0,0,False
12,0.004885673522949219,0.0,0,False
13,0.0019540786743164062,0.0,0,False
14,0.0009777545928955078,0.0,0,False
15,0.0019545555114746094,0.0,0,False
16,0.00488591194152832,0.0,0,False
17,0.0,0.0,0,False
18,0.002931356430053711,0.0,0,False
19,0.004885435104370117,0.0,0,False
20,0.002931833267211914,0.0,0,False
21,0.002931356430053711,0.0,0,False
22,0.0019533634185791016,0.0,0,False
23,0.003908872604370117,0.0,0,False
24,0.0029311180114746094,0.0,0,False
25,0.003909111022949219,0.0,0,False
26,0.002931356430053711,0.0,0,False
27,0.002931356430053711,0.0,0,False
28,0.00586247444152832,0.0,0,False
29,0.003908634185791016,0.0,0,False
30,0.0009777545928955078,0.0,0,False
31,0.0009775161743164062,0.0,0,False
32,0.0029311180114746094,0.0,0,False
33,0.003909111022949219,0.0,0,False
34,0.003908634185791016,0.0,0,False
35,0.0009770393371582031,0.0,0,False
36,0.0049288272857666016,0.0,0,False
37,0.003908634185791016,0.0,0,False
38,0.0029866695404052734,0.0,0,False
39,0.002931356430053711,0.0,0,False
40,0.004886150360107422,0.0,0,False
41,0.002930879592895508,0.0,0,False
42,0.0009772777557373047,0.0,0,False
43,0.0019545555114746094,0.0,0,False
44,0.00781702995300293,0.0,0,False
45,0.010750293731689453,0.0,0,False
46,0.002931833267211914,0.0,0,False
47,0.004887580871582031,0.0,0,False
48,0.003909111022949219,0.0,0,False
49,0.005864381790161133,0.0,0,False
50,0.00488591194152832,0.0,0,False
51,0.0,0.0,0,False
52,0.0058634281158447266,0.0,0,False
53,0.0019538402557373047,0.0,0,False
54,0.002460956573486328,0.0,0,False
55,0.0019538402557373047,0.0,0,False
56,0.001954793930053711,0.0,0,False
57,0.0009760856628417969,0.0,0,False
58,0.0019638538360595703,0.0,0,False
59,0.0029234886169433594,0.0,0,False
60,0.0058634281158447266,0.0,0,False
61,0.0039098262786865234,0.0,0,False
62,0.0009777545928955078,0.0,0,False
63,0.003907918930053711,0.0,0,False
64,0.003437519073486328,0.0,0,False
65,0.008796453475952148,0.0,0,False
66,0.006840229034423828,0.0,0,False
67,0.003435373306274414,0.0,0,False
68,0.0009775161743164062,0.0,0,False
69,0.00390934944152832,0.0,0,False
70,0.003908395767211914,0.0,0,False
71,0.01223134994506836,0.0,0,False
72,0.0019524097442626953,0.0,0,False
73,0.004886150360107422,0.0,0,False
74,0.009770870208740234,0.0,0,False
75,0.001954317092895508,0.0,0,False
76,0.004886150360107422,0.0,0,False
77,0.017587900161743164,0.0,0,False
78,0.0009768009185791016,0.0,0,False
79,0.0,0.0,0,False
80,0.0009763240814208984,0.0,0,False
81,0.006840229034423828,0.0,0,False
82,0.0029320716857910156,0.0,0,False
83,0.001953125,0.0,0,False
84,0.002931356430053711,0.0,0,False
85,0.00488591194152832,0.0,0,False
86,0.0058629512786865234,0.0,0,False
87,0.005863666534423828,0.0,0,False
88,0.0009777545928955078,0.0,0,False
89,0.0019538402557373047,0.0,0,False
90,0.005863189697265625,0.0,0,False
91,0.002931356430053711,0.0,0,False
92,0.014656543731689453,0.0,0,False
93,0.0,0.0,0,False
94,0.007816791534423828,0.0,0,False
95,0.0,0.0,0,False
96,0.0019545555114746094,0.0,0,False
97,0.001954317092895508,0.0,0,False
98,0.0029315948486328125,0.0,0,False
99,0.003907918930053711,0.0,0,False
100,0.001954793930053711,0.0,0,False
101,0.0029315948486328125,0.0,0,False
102,0.010747909545898438,0.0,0,False
103,0.003908872604370117,0.0,0,False
104,0.00977182388305664,0.0,0,False
105,0.004886150360107422,0.0,0,False
106,0.002930879592895508,0.0,0,False
107,0.0039081573486328125,0.0,0,False
108,0.008794784545898438,0.0,0,False
109,0.0009772777557373047,0.0,0,False
110,0.0009768009185791016,0.0,0,False
111,0.0019540786743164062,0.0,0,False
112,0.0009770393371582031,0.0,0,False
113,0.0029315948486328125,0.0,0,False
114,0.001954793930053711,0.0,0,False
115,0.0029315948486328125,0.0,0,False
116,0.012703657150268555,0.0,0,False
117,0.003907918930053711,0.0,0,False
118,0.004885435104370117,0.0,0,False
119,0.0058634281158447266,0.0,0,False
120,0.003907918930053711,0.0,0,False
121,0.0019538402557373047,0.0,0,False
122,0.00879526138305664,0.0,0,False
123,0.004885435104370117,0.0,0,False
124,0.0019538402557373047,0.0,0,False
125,0.004885673522949219,0.0,0,False
126,0.004885673522949219,0.0,0,False
127,0.006839752197265625,0.0,0,False
128,0.004886150360107422,0.0,0,False
129,0.00781702995300293,0.0,0,False
130,0.0019538402557373047,0.0,0,False
131,0.006840705871582031,0.0,0,False
132,0.0,0.0,0,False
133,0.00684046745300293,0.0,0,False
134,0.001954317092895508,0.0,0,False
135,0.0019545555114746094,0.0,0,False
136,0.0019545555114746094,0.0,0,False
137,0.001954317092895508,0.0,0,False
138,0.00488591194152832,0.0,0,False
139,0.0,0.0,0,False
140,0.009770870208740234,0.0,0,False
141,0.00684046745300293,0.0,0,False
142,0.003907918930053711,0.0,0,False
143,0.00488591194152832,0.0,0,False
144,0.002931356430053711,0.0,0,False
145,0.005862236022949219,0.0,0,False
146,0.0019538402557373047,0.0,0,False
147,0.01125335693359375,0.0,0,False
148,0.002931356430053711,0.0,0,False
149,0.002931356430053711,0.0,0,False
150,0.0009772777557373047,0.0,0,False
151,0.007353305816650391,0.0,0,False
152,0.0058629512786865234,0.0,0,False
153,0.0019757747650146484,0.0,0,False
154,0.01026463508605957,0.0,0,False
155,0.006834506988525391,0.0,0,False
156,0.002932310104370117,0.0,0,False
157,0.003908872604370117,0.0,0,False
158,0.002931356430053711,0.0,0,False
159,0.0068395137786865234,0.0,0,False
160,0.016643047332763672,0.0,0,False
161,0.002932310104370117,0.0,0,False
162,0.0019540786743164062,0.0,0,False
163,0.011730432510375977,0.0,0,False
164,0.005863189697265625,0.0,0,False
165,0.001954317092895508,0.0,0,False
166,0.001481771469116211,0.0,0,False
167,0.00781702995300293,0.0,0,False
168,0.007819890975952148,0.0,0,False
169,0.003445148468017578,0.0,0,False
170,0.01465916633605957,0.0,0,False
171,0.018095016479492188,0.0,0,False
172,0.0019545555114746094,0.0,0,False
173,0.002931833267211914,0.0,0,False
174,0.006827831268310547,0.0,0,False
175,0.004888296127319336,0.0,0,False
176,0.005862236022949219,0.0,0,False
177,0.004888057708740234,0.0,0,False
178,0.004886150360107422,0.0,0,False
179,0.003434896469116211,0.0,0,False
180,0.023453712463378906,0.0,0,False
181,0.0044214725494384766,0.0,0,False
182,0.005863189697265625,0.0,0,False
183,0.016141891479492188,0.0,0,False
184,0.003909111022949219,0.0,0,False
185,0.02349066734313965,0.0,0,False
186,0.011721611022949219,0.0,0,False
187,0.004886150360107422,0.0,0,False
188,0.009773492813110352,0.0,0,False
189,0.006368398666381836,0.0,0,False
190,0.00782012939453125,0.0,0,False
191,0.009298086166381836,0.0,0,False
192,0.005862236022949219,0.0,0,False
193,0.003910541534423828,0.0,0,False
194,0.011253595352172852,0.0,0,False
195,0.0048940181732177734,0.0,0,False
196,0.0,0.0,0,False
197,0.004885196685791016,0.0,0,False
198,0.012229204177856445,0.0,0,False
199,0.0009708404541015625,0.0,0,False
200,0.002932310104370117,0.0,0,True
